Species,BMR,M,Tb,Ta
Acinonyx jubatus,50.107,37900,39,22.8
Leopardus pardalis,17.439,10500,38,21.9
Leopardus wiedii,5.227,3600,38,22.7
Leptailurus serval,1.44,1012,36.5,22.9
Lynx rufus,23.542,9400,NA,10.4
Panthera leo,94.58,98000,37.9,25.3
Panthera onca,62.419,50400,NA,23.5
Panthera tigris,133.859,137900,37.5,20.1
Puma concolor,49.326,37200,37.6,17.5
Puma yagouaroundi,9.69,8400,38.4,NA
Arctictis binturong,12.747,14280,36.7,19.9
Arctogalidia trivirgata,3.085,2010,36.2,20.4
Genetta tigrina,4.167,1698,NA,15.5
Paradoxurus hermaphroditus,7.665,3160,36.5,20.2
Fossa fossana,5.09,2260,37.9,19.3
Nandinia binotata,4.814,4270,37.4,22.9
Galerella sanguinea,2.287,540,38.7,22.6
Herpestes javanicus,2.248,611,39.8,19.6
Suricata suricatta,1.729,850,36.3,17.2
Hyaena hyaena,31.954,34300,NA,22.2
Proteles cristata,12.239,8100,36.4,20.3
Canis latrans,14.99,10000,37,5.5
Canis mesomelas,21.533,7720,38,20.5
Cerdocyon thous,8.502,5444,38.2,22.1
Lycaon pictus,33.01,8750,NA,22.9
Vulpes lagopus,7.665,3600,38.6,NA
Vulpes macrotis,4.78,1769,38,NA
Vulpes velox,4.948,1769,NA,12.3
Vulpes vulpes,13.623,4440,38.7,3.3
Vulpes zerda,3.252,1215,38.8,24.5
Melursus ursinus,47.064,66957,NA,23.9
Histriophoca fasciata,118.59,54000,NA,NA
Pagophilus groenlandicus,168.93,150000,NA,NA
Phoca vitulina,73.29,27400,NA,NA
Eira barbara,6.811,2950,38.4,22.6
Enhydra lutris,67.278,18000,38.5,NA
Gulo gulo,31.765,12700,NA,-6.8
Lutra lutra,25.104,10000,38.1,4.8
Martes americana,3.319,900,38,-2.5
Martes martes,4,920,NA,4
Meles meles,16.647,11050,NA,4.5
Mustela erminea,0.93,75,39.6,-2.7
Mustela frenata,1.344,225,39,12.4
Neovison vison,2.722,660,39,NA
Taxidea taxus,15.062,9000,38,8.9
Spilogale putorius,1.674,624,36.4,12.1
Bassariscus sumichrasti,3.537,1280,38.8,20.9
Nasua narica,6.733,3670,38.6,18.5
Nasua nasua,5.346,4000,36.4,23.5
Potos flavus,4.441,2343,36.1,23.1
Procyon cancrivorus,2.588,1160,37.6,23
Procyon lotor,8.92,5075,38,10.5
Ailurus fulgens,4.898,5740,37.6,4.5
Equus asinus,164.92,177500,NA,NA
Sus scrofa,104.15,135000,NA,11.1
Pecari tajacu,33.165,20500,37.5,22.2
Camelus dromedarius,224.779,407000,37.2,NA
Lama glama,148.94,115000,38.7,NA
Tragulus javanicus,4.865,1618,NA,22.2
Alces alces,286.847,325000,38.6,-4.3
Capreolus capreolus,46.347,21500,NA,6.8
Cervus elaphus,112.43,67000,NA,2.7
Odocoileus virginianus,142.863,58588,39,12.1
Rangifer tarandus,119.66,85000,39.2,-8.5
Antilocapra americana,51.981,37800,NA,9
Bos taurus,306.77,347000,38.4,NA
Connochaetes taurinus,230.073,196500,NA,20.9
Kobus ellipsiprymnus,148.949,100000,NA,23.3
Madoqua kirkii,11.966,4290,NA,21.5
Oreamnos americanus,46.414,32000,38.6,-1
Ovis canadensis,106.663,69125,NA,7.8
Philantomba monticola,10.075,4200,NA,NA
Raphicerus campestris,20.619,9600,39,19.1
Taurotragus oryx,200.83,150000,39.1,21.5
