"GenBank","Seq.Names","Clade.Label","MajorGroup","Group","ThermoMode","Class","Order","Family","Species","dN","dS","Clade","Clade.Age","Tip.Age","Lat","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","Div.Rate","BAMM.Lambda","ClaDS.Rate","Div.Rate.DNA","BAMM.Lambda.DNA","ClaDS.Rate.DNA","NTR","NTR.DNA","Habitat","Length","BodyMass","Longevity","MaturityAge","Fecundity","Migration","Ref.BodyMass","Ref.Fecundity","Ref.MaturityAge","Ref.Longevity"
"MK704428.1","Solegnathus_spinosissimus_MK704428.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Solegnathus_spinosissimus",2.22453831185498e-10,3.35082132998683e-09,"Fishes4435",68.70904299,33.41137551,40.2954545454545,15.1692999267578,2.86622333526611,12.0336561203003,10.2098426818848,0.145642409258642,0.146271545,0.106530271,NA,NA,NA,35,NA,"Marine",490,87.7,4.607402788,0.905803636,426.608025,NA,"FishBase","","",""
"NC_024191.1","Phycodurus_eques_NC_024191.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Phycodurus_eques",3.08834803926829e-10,7.90221375971909e-09,"Fishes4435",68.70904299,30.48986626,34.1078431372549,18.0904846191406,6.49365901947021,20.7009983062744,15.5832061767578,0.0280868317124899,0.146271545,0.109764601,0.028086830971576,0.055050679,0.021995716,32,32,"Marine",350,191.7,4.396711574,0.746482015,376.1004535,NA,"FishBase","","",""
"KJ184524.1","Solegnathus_hardwickii_KJ184524.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Solegnathus_hardwickii",1.41163318550049e-10,3.51657275966094e-09,"Fishes4435",68.70904299,30.48986626,13.6698232323232,27.2068367004395,5.57356643676758,29.2715129852295,24.8995685577393,0.0546843377765456,0.146271545,0.110277484,0.0546843371198454,0.055050679,0.021192518,33,33,"Marine",400,46,4.479147546,0.806048515,395.3865815,NA,"FishBase","","",""
"KP861226.1","Syngnathus_schlegeli_KP861226.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus_schlegeli",1.95005615506785e-10,8.57126977912605e-09,"Fishes4435",68.70904299,13.65350686,34.1893939393939,17.8829822540283,18.0523014068604,25.9413242340088,9.97601127624512,0.0512389682638745,0.147642818,0.207128211,0.0295596050386453,0.059084592,0.036324999,36,35,"Marine",300,14,3,0.683170376,1042,NA,"FishBase","Reproduction ecology of fishes in Jiaozhou Bay waters","","AnAge_Genus"
"MN122937.1","Syngnathus_acus_MN122937.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus_acus",2.1727278706871e-10,8.12078066888516e-09,"Fishes4435",68.70904299,9.19828198,48.2345132743363,13.2554035186768,11.5757713317871,18.2977771759033,8.54290103912354,0.101894414984316,0.147642818,0.188010866,0.090856793184442,0.059084592,0.035884173,39,38,"Marine",500,75,3,0.916386181,102,NA,"FishBase","FishBase","","AnAge_Genus"
"KU925872.1","Syngnathus_typhle_KU925872.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus_typhle",3.02031844696658e-10,1.37747729228882e-08,"Fishes4435",68.70904299,9.19828198,49.1086956521739,13.7272357940674,13.6670732498169,19.8378162384033,8.1328125,0.163487840857687,0.147606637,0.226592005,0.163487827507582,0.059252325,0.0500468,39,39,"Marine",350,18.4,3,1,100,NA,"FishBase","FishBase","FishBase","AnAge_Genus"
"KJ184528.1","Trachyrhamphus_serratus_KJ184528.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Trachyrhamphus_serratus",2.31943091756247e-10,6.38605728444463e-09,"Fishes4435",68.70904299,39.06189338,13.6598579040853,26.8961238861084,5.80240678787231,29.0758628845215,24.4805965423584,0.0599875246825086,0.146271545,0.104304555,0.0210125844919977,0.054997169,0.018251975,34,32,"Marine",300,18.4,4.303431121,0.683170376,355.0031332,NA,"FishBase","","",""
"KJ139455.1","Corythoichthys_flavofasciatus_KJ139455.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Corythoichthys_flavofasciatus",2.03923351116194e-10,1.02254133744549e-08,"Fishes4435",68.70904299,39.06189342,11.8605577689243,27.9566097259521,4.84896850585938,29.6583671569824,25.9587383270264,0.0419486038278669,0.146271545,0.107358691,0.0226888652872905,0.054997169,0.025752939,35,34,"Marine",120,1.8,3.788405991,0.403401755,251.8854428,NA,"FishBase","","",""
"KT362140.1","Hippocampus_abdominalis_KT362140.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_abdominalis",1.88298955940134e-10,4.64281087138647e-09,"Fishes4435",68.70904299,24.08783049,38.0300546448087,16.3507785797119,6.57539129257202,19.1569004058838,13.9072151184082,0.0363845768089533,0.146352411,0.132528005,0.0363845759000726,0.097811575,0.038727167,38,38,"Marine",350,191.7,4.396711574,1,100,NA,"FishBase","FishBase","FishBase",""
"JX970973.1","Hippocampus_comes_JX970973.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_comes",1.75924145303948e-10,7.00724305229157e-09,"Fishes4435",68.70904299,7.40497451,5.60344827586207,28.9947471618652,3.46887278556824,30.0393352508545,27.7068901062012,0.125076815045313,0.146271545,0.148374653,0.125076811287501,0.180730374,0.067130983,43,43,"Marine",187,29.2,4.029562874,0.5,200,NA,"FishBase","FishBase","FishBase",""
"KF712276.1","Hippocampus_barbouri_KF712276.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_barbouri",1.8093104206551e-10,9.03034796466533e-09,"Fishes4435",68.70904299,7.40497451,5.75252525252525,28.9356842041016,3.40068340301514,29.9601440429688,27.6336288452148,0.0866280379167671,0.146271545,0.149736298,0.0866280343115749,0.180730374,0.065598816,42,42,"Marine",150,15.1,3.90785002,0.3,250,NA,"FishBase","FishBase","FishBase",""
"KX890469.1","Hippocampus_jayakari_KX890469.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_jayakari",3.69365682448564e-10,7.24577160548063e-09,"Fishes4435",68.70904299,12.89860294,21.6946308724832,26.7830867767334,9.51068496704102,30.5741367340088,22.443286895752,0.0999291869039444,0.146271545,0.167801472,NA,NA,NA,42,NA,"Marine",140,12.3,3.870522845,0.440786318,266.8546286,NA,"FishBase","","",""
"MH939459.1","Hippocampus_camelopardalis_MH939459.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_camelopardalis",1.89014971540629e-10,7.42952613306569e-09,"Fishes4435",68.70904299,12.89860294,19.6451612903226,26.2396812438965,5.56699085235596,28.595775604248,23.9532222747803,0.0789193803462518,0.146271545,0.145349641,0.0451633806861234,0.180497307,0.066162222,41,40,"Marine",100,4.5,3.693528301,0.3632565,235.2608036,NA,"FishBase","","",""
"KJ956892.1","Hippocampus_trimaculatus_KJ956892.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_trimaculatus",1.94403991754646e-10,6.62079341870897e-09,"Fishes4435",68.70904299,21.57240076,12.0599662162162,27.619348526001,5.35378074645996,29.5164184570312,25.3751487731934,0.138118198094587,0.146271545,0.141699145,0.0740603226683933,0.180497307,0.047332442,44,43,"Marine",220,47.6,4.121702395,0.5,400,NA,"FishBase","FishBase","FishBase",""
"KF557651.1","Hippocampus_mohnikei_KF557651.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_mohnikei",9.24729394592376e-11,5.46189799065296e-09,"Fishes4435",68.70904299,19.60604323,14.7890946502058,26.4063339233398,6.0580530166626,28.7396049499512,23.8984928131104,0.0509524576659678,0.146271545,0.142309863,0.0509524551715355,0.180497307,0.054782772,41,41,"Marine",80,2.3,3.580635048,0.5,216.3996899,NA,"FishBase","","FishBase",""
"KY938883.1","Hippocampus_sindonis_KY938883.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_sindonis",6.59231581301489e-10,6.63151888974328e-09,"Fishes4435",68.70904299,19.60604323,34.5,19.6437549591064,14.6956071853638,26.5454044342041,13.7695274353027,0.116409219661846,0.146271545,0.131021243,0.0805041287104301,0.180497307,0.049113196,44,43,"Marine",108,5.7,3.733284489,0.379690749,242.1401581,NA,"FishBase","","",""
"KF557652.1","Hippocampus_erectus_KF557652.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_erectus",2.06711281301583e-10,6.79373793012084e-09,"Fishes4435",68.70904299,4.24531871,22.2065217391304,25.5644226074219,8.18924903869629,28.7936382293701,22.0965099334717,0.193083562387779,0.146271545,0.134253076,0.15367434586172,0.184992524,0.06158278,45,43,"Marine",190,30.7,4.7,0.7,97,NA,"FishBase","FishBase","AnAge","AnAge"
"MF541546.1","Hippocampus_hippocampus_MF541546.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_hippocampus",1.84948063923956e-10,5.27934798443934e-09,"Fishes4435",68.70904299,4.24531871,38.7884012539185,18.3191871643066,11.6905841827393,23.5628986358643,13.5209274291992,0.0970097866615819,0.146271545,0.138131731,0.0912303877010937,0.184992524,0.05913757,43,42,"Marine",150,8.1,1.3,0.3,865,NA,"FishBase","FishBase","FishBase","FishBase"
"KF703755.1","Hippocampus_kelloggi_KF703755.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_kelloggi",1.83416158842005e-10,6.61213683990888e-09,"Fishes4435",68.70904299,11.63990642,11.7902338376891,27.8274917602539,5.25257587432861,29.68971824646,25.620433807373,0.199705507698949,0.146271545,0.161275949,0.136746390962142,0.184992524,0.074763159,43,42,"Marine",280,98.1,4.262325418,0.656601695,345.9480723,NA,"FishBase","","",""
"KJ123693.1","Hippocampus_spinosissimus_KJ123693.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_spinosissimus",3.79711327782704e-10,3.38880815969213e-09,"Fishes4435",68.70904299,3.75302107,9.61240721102863,28.2123832702637,4.8358039855957,29.8309307098389,26.1639461517334,0.154120264642555,0.146271545,0.16534122,0.123529760288068,0.184992524,0.071019545,43,42,"Marine",172,22.8,3.982963533,0.5,683,NA,"FishBase","FishBase","FishBase",""
"KX685110.1","Hippocampus_queenslandicus_KX685110.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_queenslandicus",2.25375900353719e-10,2.84632534832063e-09,"Fishes4435",68.70904299,3.75302107,19.6470588235294,25.3809566497803,7.02946758270264,28.3070526123047,22.4459419250488,0.154120264642555,0.146271545,0.165634549,0.123529760288068,0.184992524,0.062203114,43,42,"Marine",116,7,3.77058147,0.395615053,248.7076751,NA,"FishBase","","",""
"KF680453.1","Hippocampus_ingens_KF680453.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_ingens",2.40447231355634e-10,4.09717101584162e-09,"Fishes4435",68.70904299,5.14901415,17.137037037037,24.7785701751709,8.04208374023438,27.7423038482666,21.7156181335449,0.130687025184665,0.146271545,0.176076967,0.130687012709932,0.187300155,0.080555318,42,42,"Marine",300,120.7,4.303431121,0.3,400,NA,"FishBase","FishBase","FishBase",""
"AP005985.1","Hippocampus_kuda_AP005985.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_kuda",2.47728716716466e-10,3.69424292960249e-09,"Fishes4435",68.70904299,4.01228376,11.6261682242991,27.951566696167,5.04907417297363,29.729793548584,25.8407077789307,0.351303055885889,0.146271545,0.179475702,0.310372622926095,0.187300155,0.113340514,46,45,"Marine",300,120.7,6,0.5,20,NA,"FishBase","FishBase","FishBase","Aquariumwiki.com"
"KJ123692.1","Hippocampus_reidi_KJ123692.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_reidi",3.46824091441771e-10,5.55924936623381e-09,"Fishes4435",68.70904299,3.9772614,17.1950819672131,27.3004207611084,5.74252843856812,29.4249439239502,24.931453704834,0.212903644608478,0.146271545,0.17194442,0.130687012709932,0.187300155,0.085517024,43,42,"Marine",175,24,5,0.501124291,200,NA,"FishBase","FishBase","","Aquariumwiki.com"
"MF592797.1","Hippocampus_capensis_MF592797.1","Syngnathiformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus_capensis",5.5816605791653e-11,2.53517332093391e-09,"Fishes4435",68.70904299,3.9772614,34,18.2639007568359,6.9855260848999,21.5153865814209,16.0705490112305,0.475242569110894,0.146271545,0.184273767,0.220768763404027,0.187300155,0.104835712,46,44,"Marine",121,7.9,3,0.5,7,NA,"FishBase","FishBase","FishBase","FishBase"
"NC_022488.1","Kali_indica_NC_022488.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Chiasmodontidae","Kali_indica",1.51298250660499e-10,6.75813981283767e-09,"Fishes4461",52.30453793,52.30453793,26.0244552058111,4,0.11520940810442,1.24521243572235,1.19525420665741,0.113001284269464,0.147041956,0.137043165,0.0355348980464806,0.055183772,0.021376467,29,27,"Marine",261,102.9,5.0778459,1.206539708,59455.43471,NA,"FishBase","","",""
"NC_022482.1","Dysalotus_alcocki_NC_022482.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Chiasmodontidae","Dysalotus_alcocki",2.10982722603423e-10,9.92573159699842e-09,"Fishes4461",52.30453793,52.30453793,14.59315008726,4,0.598783493041992,4.02399826049805,3.67236232757568,0.0364010919165071,0.147041956,0.123522501,0.0201062612597064,0.055183772,0.021245442,27,26,"Marine",225,64.4,4.68102283,1.141884447,49301.53135,NA,"FishBase","","",""
"AP006810.1","Arripis_trutta_AP006810.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Arripidae","Arripis_trutta",3.12423104443178e-10,7.5593097834237e-09,"Fishes4463",59.20797111,48.82428401,37.6366459627329,16.9609699249268,6.75219106674194,19.8488578796387,14.4497089385986,0.0560452588787928,0.146259541,0.088169916,0.0220778167639024,0.054997169,0.015782395,30,28,"Marine",890,2131.1,26,4,1729489,NA,"FishBase","The biology and population structure of eastern Australian salmon (Arripis trutta) in south-eastern Australia","FishBase","FishBase"
"NC_022507.1","Pomatomus_saltatrix_NC_022507.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Pomatomidae","Pomatomus_saltatrix",8.51134353328722e-11,5.23997888584962e-09,"Fishes4463",59.20797111,48.82428401,24.5625550660793,21.9054470062256,6.48663902282715,24.5677337646484,19.5417289733887,0.0170716345513716,0.146246522,0.08562665,0.01707163451608,0.054997169,0.016420198,28,28,"Marine",1300,19976.1,9,2,114513,NA,"FishBase","FishBase","FishBase","FishBase"
"KP334103.1","Psenopsis_anomala_KP334103.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Centrolophidae","Psenopsis_anomala",2.05985036562178e-10,4.82027644329126e-09,"Fishes4463",59.20797111,55.69482238,30.5780487804878,17.8699272632599,7.24286508560181,17.6723232269287,12.1834850311279,0.0366101366842377,0.146271545,0.102928798,0.0282170890845123,0.054997169,0.029419815,29,28,"Marine",300,801.6,5.480721983,1.270530753,171900,NA,"FishBase","Reproductive biology of Japanese butterfish Psenopsis anomala (Stromateidae) from coastal waters of northeastern Taiwan","",""
"MT410878.1","Schedophilus_medusophagus_MT410878.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Centrolophidae","Schedophilus_medusophagus",1.79656959025128e-10,6.13109884390303e-09,"Fishes4463",59.20797111,16.77632267,44.8094496365524,5.48810887336731,0.554022967815399,3.53906726837158,3.28309750556946,0.0620950025265822,0.146271545,0.128145095,0.0620950005403236,0.055713907,0.053894322,31,31,"Marine",550,2595.2,7.641146414,1.591000841,355004,NA,"FishBase","Unusual shallow inshore records of Cornish blackfish Schedophilus medusophagus (Stromateoidei: Centrolophidae) from Galician waters (NW Spain)","",""
"AP006037.1","Hyperoglyphe_japonica_AP006037.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Centrolophidae","Hyperoglyphe_japonica",2.62906814665292e-10,4.40263735962483e-09,"Fishes4463",59.20797111,16.77632267,27.9690831556503,4,1.67917156219482,6.90169811248779,5.86577701568604,0.0919297311950721,0.146271545,0.122841585,0.0919297279939385,0.055888496,0.050379771,33,33,"Marine",900,11518.2,10.00960688,1.910021384,283479.4467,NA,"FishBase","","",""
"NC_022504.1","Benthodesmus_tenuis_NC_022504.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Trichiuridae","Benthodesmus_tenuis",3.61219438483633e-10,4.07152015423425e-09,"Fishes4468",57.74303058,43.4260743,16.2236092860272,8.15829300880432,2.06276750564575,11.0051507949829,9.76342868804932,0.28368793206715,0.146271545,0.1606213,NA,NA,NA,34,NA,"Marine",2300,31199.4,16.74243936,2.705517546,926134.9868,NA,"FishBase","","",""
"NC_022506.1","Aphanopus_carbo_NC_022506.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Trichiuridae","Aphanopus_carbo",1.74429158507306e-10,2.86817150123197e-09,"Fishes4468",57.74303058,43.4260743,52.1963434022258,4,1.21976554393768,4.68241024017334,4.14762926101685,0.0489118131302616,0.146271545,0.169797591,0.0382063189811873,0.054997169,0.042511625,31,30,"Marine",1510,4495.3,12,3,5e+05,NA,"FishBase","Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish","FishBase","Deep-sea fishes biology, diversity, ecology and fisheries"
"MK333401.1","Trichiurus_lepturus_MK333401.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Trichiuridae","Trichiurus_lepturus",6.72395513186664e-10,9.87825248572189e-09,"Fishes4468",57.74303058,41.21850494,18.0226824457594,14.9669399809837,3.81444263458252,16.5280227661133,13.9591064453125,0.252147033338671,0.146271545,0.149874555,0.0676247108114843,0.054997169,0.03380449,38,33,"Marine",2340,17298.5,15,1.8,22654,NA,"FishBase","FishBase","FishBase","FishBase"
"NC_022495.1","Evoxymetopon_poeyi_NC_022495.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Trichiuridae","Evoxymetopon_poeyi",1.20486718599545e-10,5.91919421799181e-09,"Fishes4468",57.74303058,27.0644529,25.2360801781737,21.2429215908051,0.660383760929108,3.26157879829407,2.82453608512878,0.0499555695851109,0.146246522,0.107412325,0.041621282914302,0.054997169,0.023290512,34,33,"Marine",2000,30233.2,15.50748818,2.568775983,776403.6775,NA,"FishBase","","",""
"NC_022494.1","Assurger_anzac_NC_022494.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Trichiuridae","Assurger_anzac",2.0766414747961e-10,6.61110328433838e-09,"Fishes4468",57.74303058,27.0644529,16.3340909090909,20.7523765563965,2.26295185089111,12.1075658798218,10.7364807128906,0.0499555695851109,0.146246522,0.106542419,0.041621282914302,0.054997169,0.023840699,34,33,"Marine",2500,17296,17.52555863,2.790539583,1028882.357,NA,"FishBase","","",""
"NC_022505.1","Epinnula_magistralis_NC_022505.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Epinnula_magistralis",1.91643728588475e-10,4.28210083631177e-09,"Fishes4468",57.74303058,47.57170199,20.4945205479452,18.6009057617187,3.49253082275391,17.0788478851318,14.8519334793091,0.219881727595151,0.182169324,0.275317059,NA,NA,NA,49,NA,"Marine",1000,10963.4,10.60482065,1.986178134,323785.2049,NA,"FishBase","","",""
"NC_022493.1","Ruvettus_pretiosus_NC_022493.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Ruvettus_pretiosus",7.2762748353006e-11,3.45259559479976e-09,"Fishes4468",57.74303058,47.57170199,19.5786026200873,4,2.13035297393799,10.9353494644165,9.62690544128418,0.0256820640582685,0.146271545,0.099115708,0.0162755314065301,0.054254282,0.025478875,30,29,"Marine",3000,215397.5,19.36790191,2.985872398,1295013.309,NA,"FishBase","","",""
"NC_022490.1","Nesiarchus_nasutus_NC_022490.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Nesiarchus_nasutus",1.33015266445346e-10,4.20712011503535e-09,"Fishes4468",57.74303058,39.33432493,19.2483595800525,4,1.68469333648682,9.36045932769775,8.3673210144043,0.0391012084641158,0.146287537,0.113622441,0.0197079249818841,0.053615287,0.02371845,32,31,"Marine",1300,13297.4,12.24537752,2.18927837,450845.0346,NA,"FishBase","","",""
"NC_022492.1","Thyrsitoides_marleyi_NC_022492.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Thyrsitoides_marleyi",1.82713929468501e-10,5.167822622897e-09,"Fishes4468",57.74303058,39.33432493,13.5023094688222,21.5508751869202,3.66552948951721,18.1460723876953,15.6995162963867,0.271153839418406,0.187518185,0.174673469,NA,NA,NA,49,NA,"Marine",2000,302349,15.50748818,2.568775983,776403.6775,NA,"FishBase","","",""
"KJ408216.1","Rexea_solandri_KJ408216.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Rexea_solandri",6.2443906790921e-11,2.97562491839366e-09,"Fishes4468",57.74303058,39.78558448,37.6322314049587,7.20579814910888,2.36913871765137,10.2815170288086,8.82691955566406,0.0414590374459308,0.146271545,0.127323912,0.0205453829188766,0.053436786,0.022330734,33,31,"Marine",1100,11327.5,16,4,5e+05,NA,"FishBase","FishBase","FishBase","FishBase"
"NC_022503.1","Rexea_nakamurai_NC_022503.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Rexea_nakamurai",3.2633242440949e-10,4.83393622203976e-09,"Fishes4468",57.74303058,39.78558448,15.1862745098039,22.453210067749,1.26320624351501,7.59384965896606,6.90331268310547,0.436984700745933,0.182172371,0.331847376,NA,NA,NA,48,NA,"Marine",380,293.7,6.239098872,1.387016878,95508.18593,NA,"FishBase","","",""
"MN510443.1","Paradiplospinus_antarcticus_MN510443.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Paradiplospinus_antarcticus",3.6408101257526e-10,1.20147722470912e-08,"Fishes4468",57.74303058,40.40880764,51.7564796905222,4,0.173201471567154,0.598727345466614,0.524171590805054,0.113960886274718,0.146271545,0.108491516,0.032078727477349,0.053615287,0.015972438,36,34,"Marine",520,776.5,7.409751385,1.558227969,141879.1477,NA,"FishBase","","",""
"NC_022491.1","Promethichthys_prometheus_NC_022491.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Gempylidae","Promethichthys_prometheus",3.505739578627e-10,5.96530011770344e-09,"Fishes4468",57.74303058,40.40880764,16.5400161681487,9.56454658508301,2.13994216918945,11.3237504959106,10.0211620330811,0.070504134103356,0.146249086,0.09854708,0.0247637122329417,0.053615287,0.018144155,35,33,"Marine",1000,4354.6,10.60482065,4,323785.2049,NA,"FishBase","","FishBase",""
"NC_022487.1","Pteraclis_aesticola_NC_022487.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Pteraclis_aesticola",2.29872432669212e-10,1.35101774805472e-08,"Fishes4481",50.18726193,24.22173711,24.0124087591241,23.6952457427979,8.47377300262451,27.1444664001465,20.1930465698242,0.185348289618844,0.146271545,0.131192377,NA,NA,NA,34,NA,"Marine",610,1446,8.087448446,1.65332065,173537.2257,NA,"FishBase","","",""
"KT908039.1","Brama_japonica_KT908039.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Brama_japonica",2.16937047328538e-10,1.98483311484358e-08,"Fishes4481",50.18726193,2.05596652,25.5574943711804,11.9384273529053,0.109508752822876,1.50002300739288,1.44765245914459,0.125879463483812,0.146271545,0.133645823,0.0889724282019686,0.05508864,0.041157647,34,33,"Marine",610,3912.3,9,4,173537.2257,NA,"FishBase","","FishBase","FishBase"
"MH409959.1","Brama_dussumieri_MH409959.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Brama_dussumieri",2.17765683872956e-10,1.78697128076753e-08,"Fishes4481",50.18726193,2.05596652,12.2585551330798,27.8686199188232,5.18791770935059,29.6915721893311,25.7113628387451,0.0914083219128496,0.146271545,0.140497359,NA,NA,NA,33,NA,"Marine",225,183,4.68102283,1.141884447,49301.53135,NA,"FishBase","","",""
"KT153629.1","Taractichthys_steindachneri_KT153629.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Taractichthys_steindachneri",1.69499312447949e-10,8.3870023005808e-09,"Fishes4481",50.18726193,13.4606615,15.6898454746137,12.4890198707581,2.58127593994141,12.5710372924805,10.9281358718872,0.0610058701533819,0.146271545,0.120783199,0.0610058700961387,0.05508864,0.040231533,32,32,"Marine",600,11000,8,1.643210561,169955.3845,NA,"FishBase","","","FishBase"
"NC_022485.1","Eumegistus_illustris_NC_022485.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Eumegistus_illustris",1.37684942733887e-10,6.93970093431956e-09,"Fishes4481",50.18726193,12.24414798,13.7457154873305,17.5753604888916,0.29511821269989,2.35773587226868,2.17243409156799,0.076941172056142,0.146271545,0.128377146,NA,NA,NA,31,NA,"Marine",470,1320,7.0102367,1.500853428,167613,NA,"FishBase","ESTIMATING THE FECUNDITY OF MONCHONG, EUMEGISTUS ILLUSTRIS, AT CROSS SEAMOUNT","",""
"KR349364.1","Taractes_rubescens_KR349364.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Taractes_rubescens",3.39832689250712e-10,6.42281381039399e-09,"Fishes4481",50.18726193,6.93114566,15.6470712178677,15.28040599823,3.37650585174561,16.0880661010742,13.8187999725342,0.0735935723672573,0.146271545,0.123666289,0.0735935722861208,0.05508864,0.033695305,32,32,"Marine",890,6055.7,9.948478414,1.902118341,279510.9553,NA,"FishBase","","",""
"NC_022486.1","Taractes_asper_NC_022486.1","Scombriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Scombriformes","Bramidae","Taractes_asper",1.82573010861054e-10,5.86611262757904e-09,"Fishes4481",50.18726193,6.93114566,23.6022405916902,4,0.464544296264648,2.62613272666931,2.32054471969604,0.0735935723672573,0.146271545,0.125865984,0.0735935722861208,0.05508864,0.041093327,32,32,"Marine",500,1640.1,7.252123592,1.535713354,135028.8026,NA,"FishBase","","",""
